pair,window_d,z_in,fees,trades,win%,net_med,net_total,fund_total,worst,hold_med_d,sharpe_tr
WDC/STXX,5,2.0,taker,82,45.1219512195122,-7.121139054035954,381.53607006637606,-170.2707,-845.2380811981993,0.003472222222222222,0.026571973749359726
WDC/STXX,5,2.0,maker,82,62.19512195121951,8.878860945964046,1693.5360700663762,-170.2707,-829.2380811981993,0.003472222222222222,0.11794584975823857
WDC/STXX,5,2.5,taker,73,38.35616438356164,-11.108243496830623,99.67596614870776,-165.52640000000002,-845.2380811981993,0.003472222222222222,0.007821159562682128
WDC/STXX,5,2.5,maker,73,57.534246575342465,4.891756503169377,1267.675966148708,-165.52640000000002,-829.2380811981993,0.003472222222222222,0.0994692741702089
WDC/STXX,10,2.0,taker,19,73.68421052631578,119.6826439691281,1030.1810405121937,-130.6226,-977.295571178659,0.5729166666666666,0.175722964858637
WDC/STXX,10,2.0,maker,19,73.68421052631578,135.6826439691281,1334.1810405121937,-130.6226,-961.295571178659,0.5729166666666666,0.22757771583567496
WDC/STXX,10,2.5,taker,14,64.28571428571429,121.94524366252207,628.5305672667644,-60.73170000000001,-977.295571178659,0.28125,0.124635161540668
WDC/STXX,10,2.5,maker,14,64.28571428571429,137.94524366252207,852.5305672667644,-60.73170000000001,-961.295571178659,0.28125,0.16905348841141254
WDC/SNDK,5,2.0,taker,58,32.758620689655174,-24.663677343173504,-4415.770850646695,-98.30069999999999,-1463.5033011425603,0.027777777777777776,-0.20702346779102399
WDC/SNDK,5,2.0,maker,58,43.103448275862064,-8.663677343173502,-3487.7708506466947,-98.30069999999999,-1447.5033011425603,0.027777777777777776,-0.1635162785350565
WDC/SNDK,5,2.5,taker,53,28.30188679245283,-27.99870636786147,-4460.942607155112,-103.9607,-1273.2488038884112,0.020833333333333332,-0.25422189098830134
WDC/SNDK,5,2.5,maker,53,39.62264150943396,-11.99870636786147,-3612.94260715511,-103.9607,-1257.2488038884112,0.020833333333333332,-0.20589574502706412
WDC/SNDK,10,2.0,taker,104,25.961538461538463,-24.031735287025864,-3552.8507472350066,-81.4083,-491.27916312366324,0.003472222222222222,-0.3297762816573445
WDC/SNDK,10,2.0,maker,104,43.269230769230774,-8.031735287025864,-1888.8507472350068,-81.4083,-475.27916312366324,0.003472222222222222,-0.17532348537681341
WDC/SNDK,10,2.5,taker,103,26.21359223300971,-22.953441446726522,-2707.945563923357,-59.020300000000006,-491.27916312366324,0.003472222222222222,-0.22368460401911397
WDC/SNDK,10,2.5,maker,103,43.689320388349515,-6.953441446726522,-1059.945563923357,-59.020300000000006,-475.27916312366324,0.003472222222222222,-0.0875547525425526
MU/SNDK,5,2.0,taker,112,27.67857142857143,-25.70626916713284,-3472.5888030432598,-174.6116,-975.2187558309382,0.003472222222222222,-0.1414965212516914
MU/SNDK,5,2.0,maker,112,40.17857142857143,-9.706269167132842,-1680.58880304326,-174.6116,-959.2187558309382,0.003472222222222222,-0.06847844152373227
MU/SNDK,5,2.5,taker,108,26.851851851851855,-25.70626916713284,-1221.9056886252156,-147.196,-734.3430103659355,0.003472222222222222,-0.056976300891795124
MU/SNDK,5,2.5,maker,108,39.81481481481482,-9.706269167132842,506.09431137478447,-147.196,-718.3430103659355,0.003472222222222222,0.023598696718532094
MU/SNDK,10,2.0,taker,122,22.131147540983605,-22.260760471848407,-322.8847762458548,-177.08399999999997,-562.8875365322635,0.003472222222222222,-0.014878123669402159
MU/SNDK,10,2.0,maker,122,39.34426229508197,-6.260760471848409,1629.1152237541446,-177.08399999999997,-546.8875365322635,0.003472222222222222,0.07506757690013915
MU/SNDK,10,2.5,taker,115,18.26086956521739,-22.80635474289201,-1216.4948755772766,-142.7822,-548.2444268743693,0.003472222222222222,-0.07246434982807566
MU/SNDK,10,2.5,maker,115,36.52173913043478,-6.806354742892012,623.5051244227232,-142.7822,-532.2444268743693,0.003472222222222222,0.037141047087703834
CRWV/NBIS,5,2.0,taker,117,29.059829059829063,-21.956066747233812,-956.5908357825789,76.25760000000001,-1563.0376573395702,0.003472222222222222,-0.037305971183772844
CRWV/NBIS,5,2.0,maker,117,43.58974358974359,-5.956066747233812,915.4091642174214,76.25760000000001,-1547.0376573395702,0.003472222222222222,0.03569993211749587
