a,b,corr,n,halflife_h,spread_std_bps
IREN,NBIS,0.6955043615627361,425,121.86810977608057,734.3535623693082
SKHYNIX,SOXL,0.6951897171202309,433,114.42706057706798,1000.0915863699007
BE,MVLL,0.6942307098781145,268,101.08077709667918,1306.4643763385704
MRVL,QQQ,0.6936504156793912,499,292.2300083960851,1138.0925613766099
GEV,LRCX,0.6932649512390863,203,42.65584996156739,94.29232257864462
AMD,ARM,0.6931875834215743,472,567.4869581069258,919.1969716586619
AAOI,SNXX,0.6930769612517741,208,248.98903293249384,1287.9093990576698
LRCX,STXX,0.6929691244430615,310,124.54010786982147,639.2027463825374
CRDO,DRAM,0.6924633110931722,395,270.1640145789601,614.4350807414783
ALAB,SNDK,0.6922801558558856,310,123.72593566656774,863.023429056261
CIEN,SNXX,0.6907723402815852,208,158.40099504805966,1193.4237368790136
DELL,HPE,0.6907363715540374,395,77.66725531033566,369.0408641482081
AMAT,MRVL,0.6904965083815893,395,138.37916857051556,858.4529870497021
ALAB,TER,0.6901339304330418,251,329.2606718984284,474.593367534314
AVGO,MVLL,0.6899284807633966,268,179.83489358800344,1894.6933009682575
ASML,DRAM,0.6894521161588912,377,319.8182459331206,566.800426311673
AMD,TER,0.6893458550867541,251,316.39122224259575,290.45736058861326
SAMSUNG,TQQQ,0.6885469217411059,268,64.81574400491905,544.207241514107
CRWV,MVLL,0.6883755300472145,268,213.98177168371623,963.0236540783621
ASML,MRVL,0.6879635218028276,377,471.4024010030693,1112.4436232260966
AXTI,LITE,0.6879476254516972,395,219.6285399248132,2078.431297024336
AMAT,SNDK,0.6877002753433028,395,304.50591706278107,603.7581710635686
AVGO,TXN,0.6876825385308795,251,540.8576247855177,151.3067879650099
LITE,LRCX,0.6872859959175308,310,330.08405358147746,517.2726491744198
KLAC,MRVL,0.6872079866597723,310,106.58006630757775,708.5594706783917
INTC,MRVL,0.6871848313413865,499,184.7375755849465,525.4352711245831
SKHYNIX,SNDK,0.6868471875368858,433,42.6710323382098,568.3786724445642
