symbol,underlyingType,fundingTime,fundingRate,markPrice
INTCUSDT,EQUITY,1781280000001,0.00023187,121.39093042
INTCUSDT,EQUITY,1781308800001,0.00026165,125.43000000
INTCUSDT,EQUITY,1781337600001,0.00000000,124.93354112
INTCUSDT,EQUITY,1781366400001,0.00000000,125.51601314
INTCUSDT,EQUITY,1781395200001,0.00009238,126.70353479
INTCUSDT,EQUITY,1781424000001,0.00000000,127.03762715
INTCUSDT,EQUITY,1781452800001,0.00000000,127.73000000
INTCUSDT,EQUITY,1781481600001,0.00139184,131.23541247
INTCUSDT,EQUITY,1781510400002,0.00050124,129.59000000
INTCUSDT,EQUITY,1781539200001,0.00008129,128.33944111
INTCUSDT,EQUITY,1781568000001,0.00000000,126.03000000
INTCUSDT,EQUITY,1781596800001,0.00000000,126.29859513
INTCUSDT,EQUITY,1781625600001,0.00000000,119.77504632
INTCUSDT,EQUITY,1781654400001,0.00012306,118.41343848
INTCUSDT,EQUITY,1781683200001,0.00043322,121.46938207
INTCUSDT,EQUITY,1781712000001,0.00021254,121.29968223
INTCUSDT,EQUITY,1781740800001,0.00013333,124.50576492
INTCUSDT,EQUITY,1781769600001,0.00025051,129.81000000
INTCUSDT,EQUITY,1781798400001,0.00046428,133.09000000
INTCUSDT,EQUITY,1781827200001,0.00039653,134.30000000
INTCUSDT,EQUITY,1781856000001,-0.00010074,133.60000000
INTCUSDT,EQUITY,1781884800001,-0.00025752,132.64039189
INTCUSDT,EQUITY,1781913600001,0.00023024,134.28803925
INTCUSDT,EQUITY,1781942400001,0.00099231,138.09465616
INTCUSDT,EQUITY,1781971200001,0.00000000,137.61000000
INTCUSDT,EQUITY,1782000000001,0.00000000,137.61789024
INTCUSDT,EQUITY,1782028800001,0.00000000,138.68579417
INTCUSDT,EQUITY,1782057600001,0.00000000,138.36000000
INTCUSDT,EQUITY,1782086400001,-0.00117972,134.98000000
INTCUSDT,EQUITY,1782115200001,0.00135487,139.86000000
INTCUSDT,EQUITY,1782144000001,0.00060889,138.00200736
INTCUSDT,EQUITY,1782172800001,0.00019619,139.20280922
INTCUSDT,EQUITY,1782201600002,0.00000000,130.79774359
INTCUSDT,EQUITY,1782230400001,0.00003762,135.46636683
INTCUSDT,EQUITY,1782259200001,0.00016606,132.92948007
INTCUSDT,EQUITY,1782288000001,0.00038630,134.85035544
INTCUSDT,EQUITY,1782316800001,0.00024021,134.89260760
INTCUSDT,EQUITY,1782345600002,0.00039535,138.76083896
