symbol,fundingTime,fundingRate,markPrice,rateType,ts,rate
SKHYNIXUSDT,1783641600001,0.00000000,1548.52911397,Regular,2026-07-10 00:00:00+00:00,0.0
SKHYNIXUSDT,1783670400001,0.00317264,1457.97000000,Regular,2026-07-10 08:00:00+00:00,0.00317264
SKHYNIXUSDT,1783699200001,0.00000000,1495.21490403,Regular,2026-07-10 16:00:00+00:00,0.0
SKHYNIXUSDT,1783728000001,0.00000000,1480.41606527,Regular,2026-07-11 00:00:00+00:00,0.0
SKHYNIXUSDT,1783756800001,0.00000000,1478.54000000,Regular,2026-07-11 08:00:00+00:00,0.0
SKHYNIXUSDT,1783785600001,0.00000000,1477.32406999,Regular,2026-07-11 16:00:00+00:00,0.0
SKHYNIXUSDT,1783814400001,-0.00002293,1475.02000000,Regular,2026-07-12 00:00:00+00:00,-2.293e-05
SKHYNIXUSDT,1783843200001,0.00000000,1476.73000000,Regular,2026-07-12 08:00:00+00:00,0.0
SKHYNIXUSDT,1783872000001,0.00000000,1482.88452938,Regular,2026-07-12 16:00:00+00:00,0.0
SKHYNIXUSDT,1783900800001,-0.00226626,1430.17000000,Regular,2026-07-13 00:00:00+00:00,-0.00226626
SKHYNIXUSDT,1783929600001,0.00500000,1244.81996422,Regular,2026-07-13 08:00:00+00:00,0.005
SKHYNIXUSDT,1783958400001,0.00000000,1268.41000000,Regular,2026-07-13 16:00:00+00:00,0.0
SKHYNIXUSDT,1783987200002,-0.00108201,1238.57022928,Regular,2026-07-14 00:00:00+00:00,-0.00108201
SKHYNIXUSDT,1784016000001,0.00500000,1289.73398267,Regular,2026-07-14 08:00:00+00:00,0.005
SKHYNIXUSDT,1784044800001,0.00192162,1335.01000000,Regular,2026-07-14 16:00:00+00:00,0.00192162
SKHYNIXUSDT,1784059200001,0.00133532,1388.63000000,Regular,2026-07-14 20:00:00+00:00,0.00133532
SKHYNIXUSDT,1784073600001,0.00171193,1414.78000000,Regular,2026-07-15 00:00:00+00:00,0.00171193
SKHYNIXUSDT,1784088000001,-0.00023997,1448.64488989,Regular,2026-07-15 04:00:00+00:00,-0.00023997
SKHYNIXUSDT,1784102400001,-0.00100191,1383.97000000,Regular,2026-07-15 08:00:00+00:00,-0.00100191
SKHYNIXUSDT,1784116800002,0.00000000,1372.40222149,Regular,2026-07-15 12:00:00+00:00,0.0
SKHYNIXUSDT,1784131200001,-0.00196477,1317.93165728,Regular,2026-07-15 16:00:00+00:00,-0.00196477
SKHYNIXUSDT,1784145600001,0.00064739,1318.65421780,Regular,2026-07-15 20:00:00+00:00,0.00064739
SKHYNIXUSDT,1784160000001,-0.00129085,1287.00000000,Regular,2026-07-16 00:00:00+00:00,-0.00129085
SKHYNIXUSDT,1784174400001,0.00168949,1254.00000000,Regular,2026-07-16 04:00:00+00:00,0.00168949
SKHYNIXUSDT,1784188800002,0.00034557,1238.44000000,Regular,2026-07-16 08:00:00+00:00,0.00034557
SKHYNIXUSDT,1784203200001,-0.00009577,1231.59980645,Regular,2026-07-16 12:00:00+00:00,-9.577e-05
SKHYNIXUSDT,1784217600001,-0.00042886,1218.89526120,Regular,2026-07-16 16:00:00+00:00,-0.00042886
SKHYNIXUSDT,1784232000001,-0.00097320,1190.84000000,Regular,2026-07-16 20:00:00+00:00,-0.0009732
SKHYNIXUSDT,1784246400001,-0.00092102,1188.21000000,Regular,2026-07-17 00:00:00+00:00,-0.00092102
SKHYNIXUSDT,1784260800001,0.00006403,1182.44801002,Regular,2026-07-17 04:00:00+00:00,6.403e-05
SKHYNIXUSDT,1784275200001,-0.00143406,1146.11000000,Regular,2026-07-17 08:00:00+00:00,-0.00143406
SKHYNIXUSDT,1784289600001,0.00041051,1167.56886683,Regular,2026-07-17 12:00:00+00:00,0.00041051
SKHYNIXUSDT,1784304000001,0.00150611,1211.66781351,Regular,2026-07-17 16:00:00+00:00,0.00150611
SKHYNIXUSDT,1784318400001,-0.00094887,1165.11000000,Regular,2026-07-17 20:00:00+00:00,-0.00094887
SKHYNIXUSDT,1784332800001,0.00000000,1156.67000000,Regular,2026-07-18 00:00:00+00:00,0.0
SKHYNIXUSDT,1784347200002,0.00000000,1164.14000000,Regular,2026-07-18 04:00:00+00:00,0.0
SKHYNIXUSDT,1784361600001,0.00000000,1161.58000000,Regular,2026-07-18 08:00:00+00:00,0.0
SKHYNIXUSDT,1784376000001,0.00000000,1161.11864637,Regular,2026-07-18 12:00:00+00:00,0.0
SKHYNIXUSDT,1784390400001,-0.00004143,1150.80000000,Regular,2026-07-18 16:00:00+00:00,-4.143e-05
SKHYNIXUSDT,1784404800001,0.00000000,1149.07286943,Regular,2026-07-18 20:00:00+00:00,0.0
SKHYNIXUSDT,1784419200001,0.00000000,1154.84000000,Regular,2026-07-19 00:00:00+00:00,0.0
SKHYNIXUSDT,1784433600001,0.00000000,1167.19385879,Regular,2026-07-19 04:00:00+00:00,0.0
SKHYNIXUSDT,1784448000001,0.00008177,1185.36480444,Regular,2026-07-19 08:00:00+00:00,8.177e-05
SKHYNIXUSDT,1784462400001,-0.00014976,1182.19000000,Regular,2026-07-19 12:00:00+00:00,-0.00014976
SKHYNIXUSDT,1784476800001,0.00000000,1183.25761432,Regular,2026-07-19 16:00:00+00:00,0.0
SKHYNIXUSDT,1784491200001,0.00020692,1193.54169532,Regular,2026-07-19 20:00:00+00:00,0.00020692
SKHYNIXUSDT,1784505600002,-0.00031583,1174.85706611,Regular,2026-07-20 00:00:00+00:00,-0.00031583
SKHYNIXUSDT,1784520000001,0.00166537,1209.39000000,Regular,2026-07-20 04:00:00+00:00,0.00166537
SKHYNIXUSDT,1784534400001,0.00052817,1206.43270265,Regular,2026-07-20 08:00:00+00:00,0.00052817
SKHYNIXUSDT,1784548800001,0.00060173,1243.21000000,Regular,2026-07-20 12:00:00+00:00,0.00060173
SKHYNIXUSDT,1784563200001,-0.00016124,1227.44000000,Regular,2026-07-20 16:00:00+00:00,-0.00016124
SKHYNIXUSDT,1784577600001,-0.00055024,1196.97000000,Regular,2026-07-20 20:00:00+00:00,-0.00055024
SKHYNIXUSDT,1784592000001,0.00015674,1202.73369876,Regular,2026-07-21 00:00:00+00:00,0.00015674
SKHYNIXUSDT,1784606400002,0.00119891,1274.40000000,Regular,2026-07-21 04:00:00+00:00,0.00119891
SKHYNIXUSDT,1784620800001,0.00022498,1261.76025821,Regular,2026-07-21 08:00:00+00:00,0.00022498
