hl,seg,bars,dev_std,dev_p99,dev_hl_bars,p_gt10,p_gt20,p_gt50,conv20_n,conv20_med_min
CRCL,AH,622,4.100170642291674,11.084565352181519,1.2223882319645176,0.024115755627009645,0.0,0.0,0,
CRCL,DEAD,1208,4.376666549414441,12.809652358079097,0.9406219519367217,0.030629139072847682,0.0016556291390728477,0.0,2,5.0
CRCL,PRE,858,4.190577953406049,13.975513573548985,1.0698147586467743,0.047785547785547784,0.0011655011655011655,0.0,1,10.0
CRCL,RTH,1014,5.627882003454724,15.004734644021907,1.0414316951526457,0.07593688362919132,0.0009861932938856016,0.0,1,5.0
CRCL,WKND,1176,4.239173875239285,11.129546205191158,1.3528299590533537,0.02295918367346939,0.0,0.0,0,
AMD,AH,611,3.593672526056815,10.85265895005,0.6450834417211684,0.011456628477905073,0.0,0.0,0,
AMD,DEAD,1187,3.8139273590232627,10.701333464595432,0.529029785844162,0.016006739679865205,0.0016849199663016006,0.0,2,5.0
AMD,PRE,854,4.007300131306872,13.334931542153374,0.4141327320939729,0.02576112412177986,0.0,0.0,0,
AMD,RTH,1014,5.055295665934401,11.79443969225985,0.29507344365103017,0.03057199211045365,0.0029585798816568047,0.0009861932938856016,3,5.0
AMD,WKND,1102,3.3636544318384978,8.563188158423184,1.14760885353874,0.003629764065335753,0.0,0.0,0,
CBRS,AH,620,5.946714422446654,17.195168963822606,1.0866765797142,0.08225806451612903,0.008064516129032258,0.0,3,10.0
CBRS,DEAD,1171,6.050589832653387,19.760356488622595,0.5792884621691599,0.0888129803586678,0.009393680614859094,0.0,11,5.0
CBRS,PRE,858,6.1792284020305335,20.4083965485507,0.419738989873871,0.08508158508158509,0.011655011655011656,0.0,10,5.0
CBRS,RTH,1014,7.19552033338981,22.383483089588054,0.309356848968994,0.14003944773175542,0.01775147928994083,0.0,16,5.0
CBRS,WKND,1109,4.996423414508951,15.58836215274127,0.777899495782543,0.04508566275924256,0.0018034265103697023,0.0,2,5.0
MSTR,AH,601,4.836743889748819,13.938382686998644,1.0624617701133556,0.051580698835274545,0.0016638935108153079,0.0,1,5.0
MSTR,DEAD,1181,5.422809109745015,15.672863995052987,1.079182322498344,0.056731583403895,0.002540220152413209,0.0,3,5.0
MSTR,PRE,853,4.2751897305389654,13.511134089151712,0.7360648999558377,0.026963657678780773,0.0023446658851113715,0.0,2,5.0
MSTR,RTH,1013,6.110226826211205,20.043289676611234,0.4070236550054433,0.0947680157946693,0.01085883514313919,0.0,11,5.0
MSTR,WKND,1041,4.485310768438407,11.087237523287131,1.421798831069616,0.01729106628242075,0.0,0.0,0,
MRVL,AH,623,5.412645780369995,15.086121051224358,1.035571054549728,0.06581059390048154,0.0016051364365971107,0.0,1,5.0
MRVL,DEAD,1188,5.919293662856076,19.91938702573937,0.49542888642992033,0.08838383838383838,0.010101010101010102,0.0,12,5.0
MRVL,PRE,858,4.388951432073601,12.951257038854042,0.5059855776022203,0.03613053613053613,0.002331002331002331,0.0,2,5.0
MRVL,RTH,1014,5.452071115331858,15.059851708560194,0.6143655225502345,0.07001972386587771,0.0009861932938856016,0.0,1,15.0
MRVL,WKND,1156,3.5251949951205126,11.39737998337068,0.6468479475189579,0.023356401384083045,0.0,0.0,0,
AAPL,AH,619,3.779020564154476,8.825072578240315,4.0042281257055645,0.0016155088852988692,0.0,0.0,0,
AAPL,DEAD,1215,2.5671683880272878,7.107050766854422,2.390887334059597,0.0,0.0,0.0,0,
AAPL,PRE,855,2.4814024136919457,6.082980570514967,1.364595717889314,0.0011695906432748538,0.0,0.0,0,
AAPL,RTH,1014,3.6180310550283385,8.922117243360333,1.975365516609559,0.006903353057199211,0.0009861932938856016,0.0,1,5.0
AAPL,WKND,1200,2.5691308554441585,6.734935460214043,1.7715472286154652,0.0,0.0,0.0,0,
MSFT,AH,617,3.522379460557819,9.221482412901251,1.5562606490006796,0.004862236628849271,0.0016207455429497568,0.0,1,5.0
MSFT,DEAD,1193,2.4258702776737495,6.346391310742312,0.8832845245138183,0.0008382229673093043,0.0,0.0,0,
MSFT,PRE,857,2.6144746170853708,6.994142698006597,0.8334005791330663,0.003500583430571762,0.0,0.0,0,
MSFT,RTH,1014,3.766228911108721,9.952262437261863,1.486811716900225,0.009861932938856016,0.0009861932938856016,0.0,1,5.0
MSFT,WKND,1120,2.5453627286895704,6.134661319848295,1.4204669717053784,0.0008928571428571428,0.0,0.0,0,
COIN,AH,588,4.192180218445125,12.19966453628465,1.0227255537930569,0.025510204081632654,0.0,0.0,0,
COIN,DEAD,1170,4.377153379101,14.86419860181564,0.5608156205350229,0.02905982905982906,0.003418803418803419,0.0,3,5.0
COIN,PRE,856,4.291880421254702,14.664549782229843,0.4649519833527108,0.03387850467289719,0.002336448598130841,0.0,2,7.5
COIN,RTH,1011,6.391881169245969,20.47384464089453,0.43419177884893584,0.09693372898120672,0.012858555885262116,0.0,12,5.0
COIN,WKND,1048,4.1259095766560225,10.230107109478189,1.420660883428255,0.01431297709923664,0.0,0.0,0,
SOXL,AH,259,5.819764238354289,16.802946598211058,0.664429145828618,0.08108108108108109,0.003861003861003861,0.0,1,5.0
SOXL,DEAD,474,8.233636221643538,25.75315472547158,0.27659791202057477,0.1877637130801688,0.027426160337552744,0.0,12,5.0
SOXL,PRE,337,6.810968848088053,19.5341060998277,0.6159991479123472,0.13056379821958458,0.008902077151335312,0.0,3,5.0
SOXL,RTH,456,12.326575663648134,46.692375146874184,0.0,0.25,0.08991228070175439,0.008771929824561403,25,5.0
SOXL,WKND,470,9.4060452072427,26.1324456029453,1.680935766894956,0.2680851063829787,0.031914893617021274,0.0,7,5.0
