type,key,t_in,t_out,days,notional,prem_in,prem_out,dir,basis_bps,fund_bps,cost_bps,net_bps,pnl_usd,open_at_end
A,STRC@HL,2026-08-04 17:45:00+00:00,2026-08-05 19:35:00+00:00,1.08,1500000.0,-33.7,1.5,-1,35.3,6.2,18.212631689815655,23.0,3453.0,
A,MINIMAX@BN,2026-08-04 02:35:00+00:00,2026-08-06 02:35:00+00:00,2.0,489087.12509999995,64.9,-23.6,1,88.5,30.0,36.0,82.5,4037.0,
A,AXTI@BN,2026-08-03 19:20:00+00:00,2026-08-07 14:30:00+00:00,3.8,789357.068365734,25.0,-2.6,1,27.6,6.9,16.0,18.5,1463.0,
A,TENCENT@BN,2026-07-30 02:35:00+00:00,2026-08-10 06:20:00+00:00,11.16,89423.60476500001,59.2,-7.9,1,67.1,30.9,36.0,62.0,554.0,
A,POPMART@BN,2026-08-11 02:55:00+00:00,2026-08-11 06:50:00+00:00,0.16,113408.061672297,60.3,-2.5,1,62.8,0.0,36.0,26.8,304.0,
A,BOT@BN,2026-08-05 14:30:00+00:00,2026-08-11 14:30:00+00:00,6.0,81982.58175,39.0,-35.8,1,74.7,58.4,16.0,117.1,960.0,
A,INTW@BN,2026-08-12 14:30:00+00:00,2026-08-12 15:00:00+00:00,0.02,108688.01237999999,-22.9,2.1,-1,25.0,-0.0,16.0,8.9,97.0,
A,BNC@BN,2026-07-31 18:35:00+00:00,2026-08-12 17:50:00+00:00,11.97,52929.449559,48.9,-8.1,1,57.0,295.2,16.0,336.2,1780.0,
A,POPMART@BN,2026-08-13 02:35:00+00:00,2026-08-13 03:45:00+00:00,0.05,153750.116193648,56.0,2.2,1,53.9,0.0,36.0,17.9,275.0,
A,APP@BN,2026-08-06 14:30:00+00:00,2026-08-13 15:55:00+00:00,7.06,109921.68929126399,42.0,0.6,1,41.4,90.9,16.0,116.3,1278.0,
